id,English,Russian,French,German,Spanish,Italian,Portuguese,ChineseSimplified,Turkish,Japanese,Korean,Arabic
NewsWindowTitle,My Gym News,Новости My Gym,My Gym Nouvelles,My Gym Nachrichten,My Gym Noticias,My Gym Notizia,My Gym Notícia,My Gym 新闻,My Gym Haber,My Gym ニュース,My Gym 뉴스,ماي جيم الأخبار
NewsButton,CLAIM,ЗАБРАТЬ,RÉCLAMER,EINSAMMELN,RECIBIR,RISCUOTI,REIVINDICAR,领取,AL,請求,받기,يطالب
idYes,Yes,Да,Oui,Ja,Sí,Sì,Sim,是,Evet,はい,예,نعم
idNo,No,Нет,Non,Nein,No,No,Não,否,Hayır,いいえ,아니오,لا
idNew,NEW,НОВЫЙ,NOUVEAU,NEU,NUEVO,NUOVO,NOVO,全新,Yeni,最新,신규,جديد
idNewnew,New!,Новинка!,Nouveau!,Neu!,Nuevo!,Nuovo!,Novo!,全新,Yeni!,最新,신규,الجديد!
idUnlock,UNLOCK,Открыть,Débloquer,Freischalten,Desbloquear,Sblocca,Desbloquear,解锁,Aç,アンロック,잠금해제,فتح
idSell,SELL,Продать,Vendre,Verkaufen,Vender,Vendi,Vender,出售,Sat,売る,팔기,بيع
idClaim,CLAIM,Забрать,RÉCLAMER,EINSAMMELN,RECIBIR,RISCUOTI,REIVINDICAR,领取,AL,請求,받기,مطالبة
idUpgrade,UPGRADE,Улучшить,Améliorer,Verbessern,Mejorar,Potenzia,Melhorar,升级,Yükselt,アップグレード,업그레이드,تطوير
idReward,Rewards,Награда,Récompenses,Belohnungen,Recompensas,Ricompense,Recompensas,奖励,Ödüller,報酬,보상,الجوائز
idComplete,Complete,Завершить,Terminé,Abgeschlossen,Completado,Completa,Concluído,完成的,Tamamlandı,完了,완료,تم
idTimeLeft,Time Left:,Осталось Времени:,Temps restant :,Verbleibende Zeit:,Tiempo restante:,Tempo rimasto:,Tempo restante:,剩余时间：,Kalan Zaman:,残り時間:,남은 시간:,الوقت المتبقي:
idSkip,BOOST,Ускорить,ACCÉLÉRER,BOOSTEN,ACELERAR,MIGLIORA,ACELERAR,加速,HIZLANDIR,ブースト,부스트,تعزيز
idExpand,EXPAND,Расширить,DÉVELOPPER,ERWEITERN,EXPANDIR,ESPANDI,EXPANDIR,扩建,GENİŞLET,拡張,확장,توسيع
idContinue,Continue,Продолжить,Continuer,Weiter,Continuar,Continua,Continuar,继续,Devam Et,続ける,계속,استمرار
idRetry,Retry,Повторить,Réessayer,Erneut versuchen,Volver a intentar,Riprova,Tentar de novo,重试,Yeniden Dene,リトライ,재시도,إعادة المحاولة
idRestart,Restart,Перезапустить,Redémarrer,Neustarten,Volver a empezar,Riavvia,Recomeçar,重新开始,Yeniden Başla,リスタート,재시작,إعادة البدء
